Species Number,Alpha Code,Common Name,Scientific Name,T & E
6460,OCWA,Orange-crowned Warbler,Oreothlypis celata,
6470,TEWA,Tennessee Warbler,Oreothlypis peregrina,
6471,COLW,Colima Warbler,Oreothlypis crissalis,
6480,NOPA,Northern Parula,Setophaga americana,
6490,TRPA,Tropical Parula,Setophaga pitiayumi,
6500,CMWA,Cape May Warbler,Setophaga tigrina,
6510,OLWA,Olive Warbler,Peucedramus taeniatus,
6520,YEWA,Yellow Warbler,Setophaga petechia,
6540,BTBW,Black-throated Blue Warbler,Setophaga caerulescens,
6550,MYWA,Myrtle Warbler,Setophaga coronata coronata,
6556,UYRW,Unknown Yellow-rumped Warbler,Setophaga coronata,
6560,AUWA,Audubon's Warbler,Setophaga coronata auduboni,
6570,MAWA,Magnolia Warbler,Setophaga magnolia,
6580,CERW,Cerulean Warbler,Setophaga cerulea,
6581,EWWA,Elfin-woods Warbler,Setophaga angelae,
6590,CSWA,Chestnut-sided Warbler,Setophaga pensylvanica,
6600,BBWA,Bay-breasted Warbler,Setophaga castanea,
6610,BLPW,Blackpoll Warbler,Setophaga striata,
6620,BLBW,Blackburnian Warbler,Setophaga fusca,
6630,YTWA,Yellow-throated Warbler,Setophaga dominica,
6634,SUWA,Sutton's Warbler,,
6640,GRWA,Grace's Warbler,Setophaga graciae,
6641,ADWA,Adelaide's Warbler,Setophaga adelaidae,
6642,BARW,Barbuda Warbler,Setophaga subita,
6643,SLWA,St. Lucia Warbler,Setophaga delicata,
6650,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,
